Animal,Class,Scientific Name,Sound / Vocalization,Emotion Label,Context / Trigger
Bald Eagle,Bird,Haliaeetus leucocephalus,Bill-clacking,Threat,when threatened
Rose-ringed Parakeet,Bird,Psittacula krameri,Bill-clacking,Threat,
Indian Leopard,Mammal,Panthera pardus fusca,Sniffing/grunting,Exploration/Foraging,
Domestic Sheep variant 57,Mammal,Ovis aries,Sniffing/grunting,Exploration/Foraging,
Bengal Fox variant 65,Mammal,Vulpes bengalensis,Loud bawl,Distress/Alarm,during foraging
Cattle Egret variant 11,Bird,Bubulcus ibis,"Chirp, cheep",Contact/Neutral,
Sarus Crane,Bird,Grus antigone,Soft contact calls,Content/Comfort,
Indian Leopard,Mammal,Panthera pardus fusca,Chittering,Playful,
Barn Owl variant 14,Bird,Tyto alba,Purring or soft chatter,Affiliative/Relaxed,
Wild Yak,Mammal,Bos grunniens,"Whine, whimper",Distress/Anxious,
Golden Eagle,Bird,Aquila chrysaetos,Mobbing calls,Group Alarm,
Indian Rock Python,Reptile,Python molurus,Low growl-like hiss,Alarm/Alert,
Indian Hare,Mammal,Lepus nigricollis,Sniffing/grunting,Exploration/Foraging,
Indian Bullfrog,Amphibian,Hoplobatrachus tigerinus,Loud croak,Mating/Call,
Indian Elephant,Mammal,Elephas maximus indicus,"Squeak, contact call",Contact/Neutral,in presence of human
Domestic Goat,Mammal,Capra hircus,Hiss,Threat/Avoidance,
Rose-ringed Parakeet variant 5,Bird,Psittacula krameri,Mobbing calls,Group Alarm,
Honey Bee,Insect,Apis cerana,Buzzing,Neutral/Forage,during mating display
Plover,Bird,Charadriidae sp.,Soft contact calls,Content/Comfort,
Indian Courser,Bird,Cursorius coromandelicus,Distress squeal,Distress/Separation,when separated from group
Indian Elephant,Mammal,Elephas maximus indicus,"Growl, snarl",Aggression,
Tree Frog,Amphibian,Rhacophoridae sp.,Silence (hiding),Fear/Hide,
King Cobra variant 69,Reptile,Ophiophagus hannah,Silent (body-language),Neutral/Calm,
Koala,Mammal,Phascolarctos cinereus,"Trumpet, rumble",Alarm/Excited,
Golden Jackal variant 52,Mammal,Canis aureus,"Whine, whimper",Distress/Anxious,near nesting site
Chital,Mammal,Axis axis,"Squeak, contact call",Contact/Neutral,at dusk
Pied Bushchat variant 21,Bird,Saxicola caprata,Aggressive scolding,Aggression/Defense,
Indian Flying Fox variant 47,Mammal,Pteropus giganteus,Mating call (vocal),Courtship/Excited,
Bengal Fox,Mammal,Vulpes bengalensis,Loud bawl,Distress/Alarm,when threatened
Common Toad,Amphibian,Duttaphrynus melanostictus,Soft trills,Contact,
Brown Palm Civet variant 67,Mammal,Paradoxurus jerdoni,Loud bawl,Distress/Alarm,
Indian Leopard,Mammal,Panthera pardus fusca,"Purr, contented vocalization",Contentment/Relaxed,
Indian Hare variant 49,Mammal,Lepus nigricollis,"Purr, contented vocalization",Contentment/Relaxed,
Bengal Tiger variant 35,Mammal,Panthera tigris tigris,Hiss,Threat/Avoidance,
Bengal Fox,Mammal,Vulpes bengalensis,"Whine, whimper",Distress/Anxious,
Common Myna variant 2,Bird,Acridotheres tristis,"Chirp, cheep",Contact/Neutral,
Little Egret variant 31,Bird,Egretta garzetta,Purring or soft chatter,Affiliative/Relaxed,
Indian Nightjar variant 32,Bird,Caprimulgus asiaticus,"Chirp, cheep",Contact/Neutral,
Black Drongo,Bird,Dicrurus macrocercus,Distress squeal,Distress/Separation,when threatened
Giant Panda,Mammal,Ailuropoda melanoleuca,"Squeak, contact call",Contact/Neutral,
Nilgai variant 42,Mammal,Boselaphus tragocamelus,"Squeak, contact call (variant)",Contact/Neutral,during mating display
Gray Wolf,Mammal,Canis lupus,"Roar, long call",Territorial/Aggressive,
Walking Catfish,Fish,Clarias batrachus,Calm bubbling,Neutral,when threatened
Moorhen variant 26,Bird,Gallinula chloropus,Distress squeal,Distress/Separation,
Sarus Crane variant 19,Bird,Grus antigone,Bill-clacking,Threat,
Wild Boar variant 53,Mammal,Sus scrofa cristatus,"Roar, long call",Territorial/Aggressive,
Leopard Cat variant 61,Mammal,Prionailurus bengalensis,Chittering,Playful,
Gaur variant 39,Mammal,Bos gaurus,Loud bawl,Distress/Alarm,
White-throated Kingfisher,Bird,Halcyon smyrnensis,Purring or soft chatter,Affiliative/Relaxed,when separated from group
Indian Leopard,Mammal,Panthera pardus fusca,"Squeak, contact call",Contact/Neutral,when separated from group
Clownfish,Fish,Amphiprioninae,Tail slap,Threat/Startle,
Indian Courser,Bird,Cursorius coromandelicus,"Song, melodious trills",Courtship/Excited,near nesting site
Rhesus Macaque variant 43,Mammal,Macaca mulatta,Mating call (vocal),Courtship/Excited,near nesting site
King Cobra,Reptile,Ophiophagus hannah,Low growl-like hiss,Alarm/Alert,
Himalayan Tahr,Mammal,Hemitragus jemlahicus,"Squeak, contact call",Contact/Neutral,
Bonnet Macaque,Mammal,Macaca radiata,"Growl, snarl",Aggression,
Indian Rhinoceros,Mammal,Rhinoceros unicornis,"Roar, long call",Territorial/Aggressive,
House Crow,Bird,Corvus splendens,"Alarm call, harsh chips",Alarm/Alert,
Rose-ringed Parakeet,Bird,Psittacula krameri,Purring or soft chatter,Affiliative/Relaxed,
Indian Flying Fox variant 47,Mammal,Pteropus giganteus,"Growl, snarl",Aggression,
Great Indian Bustard,Bird,Ardeotis nigriceps,"Song, melodious trills",Courtship/Excited,
Indian Rock Python variant 68,Reptile,Python molurus,Silent (body-language),Neutral/Calm,
House Crow,Bird,Corvus splendens,"Chirp, cheep",Contact/Neutral,
Musk Deer,Mammal,Moschus moschiferus,"Whine, whimper",Distress/Anxious,
Sarus Crane variant 19,Bird,Grus antigone,"Alarm call, harsh chips",Alarm/Alert,
King Cobra,Reptile,Ophiophagus hannah,Breathing sound,Relaxed,
Domestic Cat variant 59,Mammal,Felis catus,"Whine, whimper",Distress/Anxious,at dawn
Common Kingfisher,Bird,Alcedo atthis,Aggressive scolding,Aggression/Defense,
Indian Wolf,Mammal,Canis lupus pallipes,Mating call (vocal),Courtship/Excited,
Indian Elephant variant 34,Mammal,Elephas maximus indicus,"Growl, snarl",Aggression,
Indian Monitor Lizard variant 73,Reptile,Varanus bengalensis,Splash (aquatic),Startle/Escape,
Rose-ringed Parakeet variant 5,Bird,Psittacula krameri,"Chirp, cheep",Contact/Neutral,
Leopard Cat,Mammal,Prionailurus bengalensis,Loud bawl,Distress/Alarm,
Common Myna,Bird,Acridotheres tristis,"Alarm call, harsh chips",Alarm/Alert,
Star Tortoise variant 78,Reptile,Geochelone elegans,Hiss,Threat/Defense,near nesting site
Tree Sparrow variant 25,Bird,Passer montanus,"Chirp, cheep",Contact/Neutral,at dusk
Rock Pigeon variant 6,Bird,Columba livia,Bill-clacking,Threat,
Asian Openbill variant 30,Bird,Anastomus oscitans,Soft contact calls,Content/Comfort,
White-throated Kingfisher variant 13,Bird,Halcyon smyrnensis,Wing-flap displays,Excitement/Display,
House Sparrow variant 0,Bird,Passer domesticus,"Song, melodious trills",Courtship/Excited,during mating display
Indian Flying Fox,Mammal,Pteropus giganteus,"Bark, woof",Alert/Excited,during mating display
Common Krait,Reptile,Bungarus caeruleus,Jaw clack,Threat,
Rhesus Macaque,Mammal,Macaca mulatta,"Roar, long call",Territorial/Aggressive,
House Sparrow variant 0,Bird,Passer domesticus,Aggressive scolding,Aggression/Defense,
Asian Openbill,Bird,Anastomus oscitans,"Alarm call, harsh chips",Alarm/Alert,
Indian Pond Heron variant 9,Bird,Ardeola grayii,Distress squeal,Distress/Separation,
Indian Nightjar variant 32,Bird,Caprimulgus asiaticus,Distress squeal,Distress/Separation,
Gaur variant 39,Mammal,Bos gaurus,Mating call (vocal) (variant),Courtship/Excited,on migration
Little Egret variant 31,Bird,Egretta garzetta,"Mimicry, learned sounds",Curiosity/Exploration,near nesting site
Green Bee-eater variant 27,Bird,Merops orientalis,Wing-flap displays,Excitement/Display,
Bengal Tiger,Mammal,Panthera tigris tigris,Mating call (vocal),Courtship/Excited,
Russell's Viper variant 71,Reptile,Daboia russelii,Jaw clack,Threat,
Wild Boar,Mammal,Sus scrofa cristatus,"Bark, woof",Alert/Excited,
Leopard Cat variant 61,Mammal,Prionailurus bengalensis,"Purr, contented vocalization",Contentment/Relaxed,at dusk
Himalayan Tahr,Mammal,Hemitragus jemlahicus,"Purr, contented vocalization",Contentment/Relaxed,
Bar-headed Goose,Bird,Anser indicus,"Chirp, cheep",Contact/Neutral,
Domestic Sheep,Mammal,Ovis aries,Loud bawl,Distress/Alarm,
Rose-ringed Parakeet,Bird,Psittacula krameri,"Mimicry, learned sounds",Curiosity/Exploration,
Bengal Fox variant 65,Mammal,Vulpes bengalensis,"Growl, snarl",Aggression,
Himalayan Tahr,Mammal,Hemitragus jemlahicus,"Whine, whimper",Distress/Anxious,
Indian Flying Fox variant 47,Mammal,Pteropus giganteus,"Whine, whimper",Distress/Anxious,
Rock Pigeon,Bird,Columba livia,"Alarm call, harsh chips",Alarm/Alert,
Himalayan Black Bear,Mammal,Ursus thibetanus,Sniffing/grunting,Exploration/Foraging,
Black-headed Ibis,Bird,Threskiornis melanocephalus,"Song, melodious trills",Courtship/Excited,at dusk
King Cobra variant 69,Reptile,Ophiophagus hannah,Vocal chirp (rare),Contact,at dawn
Domestic Cat variant 59,Mammal,Felis catus,Chittering,Playful,at dusk
Dragonfly,Insect,Odonata,Clicking,Communication,
Jungle Owlet,Bird,Glaucidium radiatum,Mobbing calls,Group Alarm,
Indian Monitor Lizard variant 73,Reptile,Varanus bengalensis,Hiss,Threat/Defense,
Rock Pigeon,Bird,Columba livia,Aggressive scolding,Aggression/Defense,
Indian Leopard,Mammal,Panthera pardus fusca,"Growl, snarl",Aggression,when separated from group
Mugger Crocodile variant 74,Reptile,Crocodylus palustris,Vocal chirp (rare),Contact,when separated from group
Snow Leopard,Mammal,Panthera uncia,Chittering,Playful,
White-throated Kingfisher,Bird,Halcyon smyrnensis,"Alarm call, harsh chips",Alarm/Alert,
Indian Vulture variant 28,Bird,Gyps indicus,"Mimicry, learned sounds",Curiosity/Exploration,
Ibis,Bird,Threskiornis sp.,"Alarm call, harsh chips",Alarm/Alert,when threatened
Indian Hare variant 49,Mammal,Lepus nigricollis,Mating call (vocal),Courtship/Excited,
Cattle Egret,Bird,Bubulcus ibis,Soft contact calls,Content/Comfort,
Domestic Sheep variant 57,Mammal,Ovis aries,"Bark, woof",Alert/Excited,
Gaur variant 39,Mammal,Bos gaurus,Chittering,Playful,
Sarus Crane variant 19,Bird,Grus antigone,"Mimicry, learned sounds",Curiosity/Exploration,
Saw-scaled Viper,Reptile,Echis carinatus,Rattle (some species),Warning,
Chital variant 41,Mammal,Axis axis,"Roar, long call",Territorial/Aggressive,
House Crow,Bird,Corvus splendens,Soft contact calls,Content/Comfort,
Asiatic Lion variant 37,Mammal,Panthera leo persica,"Trumpet, rumble",Alarm/Excited,
Domestic Goat,Mammal,Capra hircus,"Squeak, contact call",Contact/Neutral,
House Crow variant 4,Bird,Corvus splendens,Soft contact calls,Content/Comfort,
Sandpiper,Bird,Scolopacidae sp.,"Alarm call, harsh chips",Alarm/Alert,
Striped Hyena variant 66,Mammal,Hyaena hyaena,"Purr, contented vocalization",Contentment/Relaxed,
Fantail Flycatcher,Bird,Rhipidura,Aggressive scolding,Aggression/Defense,
Black Drongo variant 12,Bird,Dicrurus macrocercus,Mobbing calls,Group Alarm,
Bonnet Macaque,Mammal,Macaca radiata,"Trumpet, rumble",Alarm/Excited,
Gaur,Mammal,Bos gaurus,Sniffing/grunting,Exploration/Foraging,at dawn
Spoonbill,Bird,Platalea leucorodia,Fleeing chatter,Fear/Escape,
Sambar Deer variant 40,Mammal,Rusa unicolor,"Growl, snarl",Aggression,at dusk
Sandpiper,Bird,Scolopacidae sp.,Soft contact calls,Content/Comfort,
Red Junglefowl variant 22,Bird,Gallus gallus,Distress squeal,Distress/Separation,at dusk
Common Toad,Amphibian,Duttaphrynus melanostictus,Loud croak,Mating/Call,in presence of human
Clownfish,Fish,Amphiprioninae,Clicking (some),Courtship/Display,
Fishing Cat variant 60,Mammal,Prionailurus viverrinus,Hiss,Threat/Avoidance,
Small Indian Civet variant 64,Mammal,Viverricula indica,Hiss,Threat/Avoidance,
Domestic Dog,Mammal,Canis familiaris,Loud bawl,Distress/Alarm,
Indian Pangolin variant 48,Mammal,Manis crassicaudata,"Squeak, contact call",Contact/Neutral,
Fantail,Bird,Rhipidura sp.,"Mimicry, learned sounds",Curiosity/Exploration,in presence of human
Wild Boar variant 53,Mammal,Sus scrofa cristatus,Sniffing/grunting,Exploration/Foraging,near nesting site
Indian Flying Fox variant 47,Mammal,Pteropus giganteus,Hiss,Threat/Avoidance,
Indian Palm Squirrel variant 46,Mammal,Funambulus palmarum,Chittering,Playful,in presence of human
Rohu,Fish,Labeo rohita,Mating vibration,Courtship,
Sandpiper variant 24,Bird,Scolopacidae sp.,Distress squeal,Distress/Separation,
Bengal Tiger variant 35,Mammal,Panthera tigris tigris,Chittering,Playful,during foraging
Indian Vulture,Bird,Gyps indicus,Mobbing calls,Group Alarm,near nesting site
Bonnet Macaque variant 44,Mammal,Macaca radiata,Mating call (vocal),Courtship/Excited,at dawn
White Rhinoceros,Mammal,Ceratotherium simum,Loud bawl,Distress/Alarm,near water
King Cobra,Reptile,Ophiophagus hannah,Huffing,Defensive,
House Sparrow variant 0,Bird,Passer domesticus,"Chirp, cheep",Contact/Neutral,
Sandpiper,Bird,Scolopacidae sp.,Fleeing chatter,Fear/Escape,
Bonnet Macaque variant 44,Mammal,Macaca radiata,Chittering,Playful,near nesting site
Common Krait variant 70,Reptile,Bungarus caeruleus,Low growl-like hiss,Alarm/Alert,
Chital,Mammal,Axis axis,"Purr, contented vocalization",Contentment/Relaxed,during foraging
Brown Palm Civet,Mammal,Paradoxurus jerdoni,Chittering,Playful,in presence of human
Gharial,Reptile,Gavialis gangeticus,Jaw clack,Threat,
Indian Bullfrog,Amphibian,Hoplobatrachus tigerinus,Short chirp,Alarm,
Eurasian Eagle-Owl variant 15,Bird,Bubo bubo,Distress squeal,Distress/Separation,in presence of human
Leopard Cat variant 61,Mammal,Prionailurus bengalensis,Loud bawl,Distress/Alarm,when separated from group
Woodpecker,Bird,Picidae sp.,Aggressive scolding,Aggression/Defense,
Domestic Cat variant 59,Mammal,Felis catus,"Trumpet, rumble",Alarm/Excited,on migration
Greater Coucal variant 17,Bird,Centropus sinensis,Soft contact calls,Content/Comfort,at dusk
Rhesus Macaque,Mammal,Macaca mulatta,Sniffing/grunting,Exploration/Foraging,
Common Myna variant 2,Bird,Acridotheres tristis,"Mimicry, learned sounds",Curiosity/Exploration,
Garden Lizard variant 76,Reptile,Calotes versicolor,Aggressive lunge sound,Aggression,
White-throated Kingfisher variant 13,Bird,Halcyon smyrnensis,"Alarm call, harsh chips",Alarm/Alert,
Indian Hare,Mammal,Lepus nigricollis,Chittering,Playful,during mating display
Indian Roller,Bird,Coracias benghalensis,"Chirp, cheep",Contact/Neutral,
Indian Grey Mongoose variant 63,Mammal,Herpestes edwardsii,"Roar, long call",Territorial/Aggressive,at dawn
Indian Wolf variant 50,Mammal,Canis lupus pallipes,"Purr, contented vocalization",Contentment/Relaxed,at dusk
Nilgai variant 42,Mammal,Boselaphus tragocamelus,"Roar, long call",Territorial/Aggressive,
Indian Elephant variant 34,Mammal,Elephas maximus indicus,"Trumpet, rumble",Alarm/Excited,during mating display
Saw-scaled Viper variant 72,Reptile,Echis carinatus,Breathing sound,Relaxed,at dawn
Sloth Bear,Mammal,Melursus ursinus,"Roar, long call",Territorial/Aggressive,
Indian Pond Heron,Bird,Ardeola grayii,"Alarm call, harsh chips",Alarm/Alert,
Nilgai variant 42,Mammal,Boselaphus tragocamelus,"Squeak, contact call",Contact/Neutral,during mating display
Black-headed Ibis,Bird,Threskiornis melanocephalus,Mobbing calls,Group Alarm,
Red Junglefowl,Bird,Gallus gallus,"Song, melodious trills",Courtship/Excited,in presence of human
Indian Roller variant 7,Bird,Coracias benghalensis,Bill-clacking,Threat,
Bonnet Macaque,Mammal,Macaca radiata,"Whine, whimper",Distress/Anxious,
Bengal Fox variant 65,Mammal,Vulpes bengalensis,"Growl, snarl",Aggression,
Sandpiper,Bird,Scolopacidae sp.,"Song, melodious trills",Courtship/Excited,
Indian Wolf,Mammal,Canis lupus pallipes,"Roar, long call",Territorial/Aggressive,
Indian Pond Heron variant 9,Bird,Ardeola grayii,"Chirp, cheep",Contact/Neutral,at dusk
Indian Elephant,Mammal,Elephas maximus indicus,Chittering,Playful,
Gaur,Mammal,Bos gaurus,"Trumpet, rumble",Alarm/Excited,
Gharial,Reptile,Gavialis gangeticus,Slow low moan,Distress,
Indian Rock Python variant 68,Reptile,Python molurus,Aggressive lunge sound,Aggression,
House Sparrow,Bird,Passer domesticus,"Song, melodious trills",Courtship/Excited,near water
Brown Palm Civet,Mammal,Paradoxurus jerdoni,"Trumpet, rumble",Alarm/Excited,
Striped Hyena,Mammal,Hyaena hyaena,"Squeak, contact call",Contact/Neutral,
Green Bee-eater variant 27,Bird,Merops orientalis,Wing-flap displays,Excitement/Display,during play
Gharial,Reptile,Gavialis gangeticus,Huffing,Defensive,at dawn
Plover,Bird,Charadriidae sp.,"Song, melodious trills",Courtship/Excited,
Rose-ringed Parakeet variant 5,Bird,Psittacula krameri,Distress squeal,Distress/Separation,during foraging
Indian Monitor Lizard,Reptile,Varanus bengalensis,Slow low moan,Distress,in presence of human
Guppy,Fish,Poecilia reticulata,Mating vibration,Courtship,during mating display
Indian Peafowl,Bird,Pavo cristatus,Mobbing calls,Group Alarm,at dawn
African Elephant,Mammal,Loxodonta africana,Mating call (vocal),Courtship/Excited,
Pied Bushchat variant 21,Bird,Saxicola caprata,Mobbing calls (variant),Group Alarm,
Rhesus Macaque variant 43,Mammal,Macaca mulatta,"Trumpet, rumble",Alarm/Excited,
Rock Pigeon variant 6,Bird,Columba livia,Wing-flap displays,Excitement/Display,during foraging
Asiatic Lion variant 37,Mammal,Panthera leo persica,"Squeak, contact call",Contact/Neutral,
Domestic Goat variant 56,Mammal,Capra hircus,Loud bawl,Distress/Alarm,
House Crow variant 4,Bird,Corvus splendens,"Alarm call, harsh chips",Alarm/Alert,
Indian Pond Heron variant 9,Bird,Ardeola grayii,Aggressive scolding,Aggression/Defense,
Woodpecker,Bird,Picidae sp.,Soft contact calls,Content/Comfort,
Dhole,Mammal,Cuon alpinus,"Squeak, contact call",Contact/Neutral,
Gray Wolf,Mammal,Canis lupus,Sniffing/grunting,Exploration/Foraging,
Tree Sparrow,Bird,Passer montanus,Soft contact calls,Content/Comfort,
Plover variant 23,Bird,Charadriidae sp.,"Mimicry, learned sounds",Curiosity/Exploration,during foraging
Gharial variant 77,Reptile,Gavialis gangeticus,Hiss,Threat/Defense,at dusk
Indian Palm Squirrel variant 46,Mammal,Funambulus palmarum,"Trumpet, rumble",Alarm/Excited,
Dhole variant 51,Mammal,Cuon alpinus,"Growl, snarl",Aggression,during mating display
Snow Leopard,Mammal,Panthera uncia,Sniffing/grunting,Exploration/Foraging,
Rusty-spotted Cat variant 62,Mammal,Prionailurus rubiginosus,"Roar, long call",Territorial/Aggressive,when threatened
Indian Monitor Lizard,Reptile,Varanus bengalensis,Rattle (some species),Warning,during foraging
Domestic Dog variant 58,Mammal,Canis familiaris,Mating call (vocal),Courtship/Excited,
Hilsa,Fish,Tenualosa ilisha,Feeding rasp,Excitement,
Tilapia,Fish,Oreochromis niloticus,Rapid splash,Alarm/Escape,when threatened
House Crow variant 4,Bird,Corvus splendens,Distress squeal,Distress/Separation,
Walking Catfish,Fish,Clarias batrachus,Feeding rasp,Excitement,during mating display
Indian Elephant variant 34,Mammal,Elephas maximus indicus,Loud bawl,Distress/Alarm,
